Inventory ID,Description,Item Class,Posting Class,Brand,Description,Item Group,Sub Item Group,Trading Group,Sub Trading Group,Conversion Factor,UOM,Profit Margin Target,Supplier
COSTP0018,Cosy TP Emb. Unwrap. 40s White,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,40s,Kimfay Brand,Manufactured,1,Bales of 40s,25%,Kim-Fay
COSTP0019,Fay TP Deca Roll 150M White (Cosy Sub),FINGOODS  -TISSUE    -TOILET-FAY,TISSUE,Fay,FG-Tissue-Toilet Tissue-Fay,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,1.8,Bales of 40s,25%,Kim-Fay
COSTP0020,Fay TP Deca Roll 150M LC White (Cosy Sub),FINGOODS  -TISSUE    -TOILET-FAY,TISSUE,Fay,FG-Tissue-Toilet Tissue-Fay,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,1.8,Bales of 40s,25%,Kim-Fay
COSTP0021,Fay TP Decaroll white 200M XLC (Cosy Sub),FINGOODS  -TISSUE    -TOILET-FAY,TISSUE,Fay,FG-Tissue-Toilet Tissue-Fay,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,2.4,Bales of 40s,25%,Kim-Fay
COSTP0022,Cosy TP Deca Roll 150M White Singles,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,1.8,Bales of 40s,25%,Kim-Fay
COSTP0023,Cosy Poa TP Emb. Wrap. 4x10s White 150 Sheets,FINGOODS  -TISSUE    -TOILET-CPOA,TISSUE,Cosy Poa,FG-Tissue-Toilet Tissue-Cosy Poa,Toilet Tissue,40s,Kimfay Brand,Manufactured,0.75,Bales of 40s,25%,Kim-Fay
COSTP0024,Cosy Poa TP Emb. Wrap. 4x10s Pink 150 Sheets,FINGOODS  -TISSUE    -TOILET-CPOA,TISSUE,Cosy Poa,FG-Tissue-Toilet Tissue-Cosy Poa,Toilet Tissue,40s,Kimfay Brand,Manufactured,0.75,Bales of 40s,25%,Kim-Fay
COSTP0025,Cosy TP Deca Roll 150M LC White (Carton),FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,1.8,Bales of 40s,25%,Kim-Fay
COSTP0026,Cosy TP Decaroll White Consumer,FINGOODS  -TISSUE    -TOILET-COSY,TISSUE,Cosy,FG-Tissue-Toilet Tissue-Cosy,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,1.05,Bales of 40s,25%,Kim-Fay
COWGT0001,Cow & Gate First 400g,FINGOODS  -FOODITEMS -BFORML-C&G,FOODITEMS,Cow & Gate,FG - Food Items-Baby Formula-C&G,Food Items,,Partners,Trading,1,Single Units,30%,Danone
COWGT0002,Cow & Gate Follow Up 400g,FINGOODS  -FOODITEMS -BFORML-C&G,FOODITEMS,Cow & Gate,FG - Food Items-Baby Formula-C&G,Food Items,,Partners,Trading,1,Single Units,30%,Danone
COWGT0003,Cow & Gate Growing Up 400g,FINGOODS  -FOODITEMS -BFORML-C&G,FOODITEMS,Cow & Gate,FG - Food Items-Baby Formula-C&G,Food Items,,Partners,Trading,1,Single Units,30%,Danone
CUSSE0001,Cushy Servt. 1ply 18x100shts White,FINGOODS  -TISSUE    -SERVIT-CUSH,TISSUE,Cushy,FG-Tissue-Serviette-Cushy,Serviettes,Serviettes - White,Kimfay Brand,Manufactured,3.3372,Kgs,40%,Kim-Fay
CUSTP0001,Cushy TP Decaroll 87.5M White,FINGOODS  -TISSUE    -TOILET-CUSH,TISSUE,Cushy,FG-Tissue-Toilet Tissue-Cushy,Toilet Tissue,Deca Roll,Kimfay Brand,Manufactured,1.05,Bales of 40s,25%,Kim-Fay
DISPE0001,Dispenser Folded Towel White,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
DISPE0002,Dispenser Deca Roll White,FINGOODS  -DISPENSER -      -FAY,DISPENSER,Fay,FG-Dispensers-Fay,Dispensers,,Kimfay Brand,Trading,1,Single Units,10%,Kim-Fay
